model,method,guesser_model,board_seed,board_style,trial,status,stage,outcome,game_length,targets_found,target_recovery_rate,assassin_hit,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,terminal_error,error
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_0,0,ok,,loss,5,4,0.4444444444444444,True,5,0,1.0,0,9,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_0,0,ok,,win,13,9,1.0,False,15,2,0.8666666666666667,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_0,0,ok,,loss,4,4,0.4444444444444444,True,4,0,1.0,0,8,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_0,0,ok,,win,10,9,1.0,False,11,1,0.9090909090909091,0,16,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_0,0,ok,,win,13,9,1.0,False,13,0,1.0,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_50,0,ok,,loss,8,5,0.5555555555555556,True,8,0,1.0,0,13,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_50,0,ok,,win,13,9,1.0,False,13,0,1.0,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_50,0,ok,,loss,10,7,0.7777777777777778,True,10,0,1.0,0,17,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_50,0,ok,,win,8,9,1.0,False,8,0,1.0,0,16,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,4,dual_50,0,ok,,win,10,9,1.0,False,10,0,1.0,0,18,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,0,dual_80,0,ok,,win,10,9,1.0,False,10,0,1.0,0,17,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,1,dual_80,0,ok,,loss,1,1,0.1111111111111111,True,1,0,1.0,0,2,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,2,dual_80,0,ok,,win,13,9,1.0,False,13,0,1.0,0,21,0,1.0,0,,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,anthropic/claude-haiku-4.5,3,dual_80,0,ok,,win,7,9,1.0,False,7,0,1.0,0,15,0,1.0,0,,
