model,method,guesser_model,board_seed,board_style,trial,count_constraint,status,stage,outcome,loss_reason,game_length,targets_found,target_recovery_rate,assassin_hit,opponent_words_revealed,codemaster_attempts,codemaster_rejected,codemaster_compliance_rate,codemaster_call_failures,guesser_attempts,guesser_rejected,guesser_compliance_rate,guesser_call_failures,started_at,duration_s,terminal_error,error
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,100,dual_0,0,min2,ok,,loss,assassin,4,5,0.5555555555555556,True,1,4,0,1.0,0,9,0,1.0,0,2026-08-30T00:22:13.438628+00:00,50.162,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,101,dual_0,0,min2,ok,,win,,8,9,1.0,False,4,12,4,0.6666666666666666,0,16,0,1.0,0,2026-08-30T00:23:03.600640+00:00,103.47,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,102,dual_0,0,min2,ok,,win,,7,9,1.0,False,2,8,1,0.875,0,15,0,1.0,0,2026-08-30T00:24:51.585845+00:00,82.175,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,103,dual_0,0,min2,ok,,win,,9,9,1.0,False,4,9,0,1.0,0,17,0,1.0,0,2026-08-30T00:26:29.444172+00:00,96.981,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,104,dual_0,0,min2,ok,,loss,assassin,1,1,0.1111111111111111,True,0,1,0,1.0,0,3,1,0.6666666666666666,0,2026-08-30T00:28:06.425860+00:00,11.491,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,105,dual_0,0,min2,ok,,loss,assassin,3,3,0.3333333333333333,True,1,3,0,1.0,0,6,0,1.0,0,2026-08-30T00:28:17.916599+00:00,33.895,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,106,dual_0,0,min2,ok,,win,,9,9,1.0,False,5,9,0,1.0,0,17,0,1.0,0,2026-08-30T00:29:16.339861+00:00,95.243,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,107,dual_0,0,min2,ok,,win,,10,9,1.0,False,6,11,1,0.9090909090909091,0,18,0,1.0,0,2026-08-30T00:30:51.582552+00:00,103.832,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,108,dual_0,0,min2,ok,,loss,assassin,6,7,0.7777777777777778,True,2,8,2,0.75,0,13,0,1.0,0,2026-08-30T00:32:35.413920+00:00,72.915,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,109,dual_0,0,min2,ok,,win,,7,9,1.0,False,2,7,0,1.0,0,15,0,1.0,0,2026-08-30T00:33:51.795480+00:00,82.32,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,110,dual_0,0,min2,ok,,win,,6,9,1.0,False,1,6,0,1.0,0,15,1,0.9333333333333333,0,2026-08-30T00:35:14.115262+00:00,75.222,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,111,dual_0,0,min2,ok,,win,,10,9,1.0,False,4,11,1,0.9090909090909091,0,18,0,1.0,0,2026-08-30T00:36:29.336743+00:00,104.71,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,112,dual_0,0,min2,ok,,loss,assassin,2,3,0.3333333333333333,True,0,2,0,1.0,0,5,0,1.0,0,2026-08-30T00:37:12.546504+00:00,26.811,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,113,dual_0,0,min2,ok,,win,,6,9,1.0,False,1,7,1,0.8571428571428571,0,14,0,1.0,0,2026-08-30T00:38:14.046863+00:00,78.702,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,114,dual_0,0,min2,ok,,win,,8,9,1.0,False,4,10,2,0.8,0,16,0,1.0,0,2026-08-30T00:39:32.748119+00:00,90.672,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,115,dual_0,0,min2,ok,,loss,assassin,6,5,0.5555555555555556,True,3,6,0,1.0,0,11,0,1.0,0,2026-08-30T00:41:03.419474+00:00,63.785,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,116,dual_0,0,min2,ok,,loss,assassin,5,2,0.2222222222222222,True,1,5,0,1.0,0,7,0,1.0,0,2026-08-30T00:42:17.639942+00:00,45.849,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,117,dual_0,0,min2,ok,,win,,9,9,1.0,False,4,15,6,0.6,0,17,0,1.0,0,2026-08-30T00:43:19.238456+00:00,102.614,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,118,dual_0,0,min2,ok,,win,,6,9,1.0,False,0,7,1,0.8571428571428571,0,14,0,1.0,0,2026-08-30T00:45:01.852202+00:00,75.553,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,119,dual_0,0,min2,ok,,loss,assassin,8,7,0.7777777777777778,True,2,11,3,0.7272727272727273,0,15,0,1.0,0,2026-08-30T00:46:17.404686+00:00,94.522,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,120,dual_0,0,min2,ok,,win,,11,9,1.0,False,7,12,1,0.9166666666666666,0,19,0,1.0,0,2026-08-30T00:48:14.167653+00:00,113.305,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,121,dual_0,0,min2,ok,,loss,assassin,8,8,0.8888888888888888,True,5,8,0,1.0,0,17,1,0.9411764705882353,0,2026-08-30T00:50:07.472719+00:00,91.689,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,122,dual_0,0,min2,ok,,win,,8,9,1.0,False,3,9,1,0.8888888888888888,0,16,0,1.0,0,2026-08-30T00:51:39.161216+00:00,90.262,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,123,dual_0,0,min2,ok,,win,,7,9,1.0,False,3,8,1,0.875,0,15,0,1.0,0,2026-08-30T00:53:09.449928+00:00,82.424,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,124,dual_0,0,min2,ok,,win,,11,9,1.0,False,4,12,1,0.9166666666666666,0,19,0,1.0,0,2026-08-30T00:54:08.610662+00:00,113.246,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,125,dual_0,0,min2,ok,,win,,8,9,1.0,False,2,8,0,1.0,0,16,0,1.0,0,2026-08-30T00:56:01.860107+00:00,90.753,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,126,dual_0,0,min2,ok,,win,,8,9,1.0,False,2,9,1,0.8888888888888888,0,16,0,1.0,0,2026-08-30T00:57:01.108739+00:00,90.417,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,127,dual_0,0,min2,ok,,win,,8,9,1.0,False,3,8,0,1.0,0,16,0,1.0,0,2026-08-30T00:58:31.526820+00:00,90.477,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,128,dual_0,0,min2,ok,,win,,5,9,1.0,False,0,5,0,1.0,0,13,0,1.0,0,2026-08-30T01:00:02.004757+00:00,67.09,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,129,dual_0,0,min2,ok,,loss,assassin,5,7,0.7777777777777778,True,0,5,0,1.0,0,12,0,1.0,0,2026-08-30T01:00:53.476167+00:00,63.311,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,130,dual_0,0,min2,ok,,win,,9,9,1.0,False,3,9,0,1.0,0,17,0,1.0,0,2026-08-30T01:01:48.040209+00:00,98.483,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,131,dual_0,0,min2,ok,,loss,assassin,7,3,0.3333333333333333,True,4,7,0,1.0,0,10,0,1.0,0,2026-08-30T01:02:55.061450+00:00,64.301,,
google/gemini-2.5-flash,strong_hebrew,google/gemini-2.5-flash,132,dual_0,0,min2,ok,,win,,6,9,1.0,False,1,6,0,1.0,0,14,0,1.0,0,2026-08-30T01:03:59.362949+00:00,83.158,,
